Components,Melting Temperature,Delta elec,SMILES
"1-amino-1H-1,2,4-triazol-1-ium perchlorate",364.1,1.0,Cl(=O)(=O)(=O)[O-].N[NH+]1N=CN=C1
"1-amino-4-methyl-4H-1,2,4-triazol-1-ium perchlorate",381.1,1.0,Cl(=O)(=O)(=O)[O-].N[N+]=1N=CN(C1)C
"4-amino-1,2,4-triazolium nitrate",342.1,1.0,[N+](=O)([O-])[O-].NN1C=N[NH+]=C1
"4-amino-1,2,4-triazolium perchlorate",356.1,1.0,Cl(=O)(=O)(=O)[O-].NN1C=N[NH+]=C1
"4-amino-1-methyl-4H-1,2,4-triazol-1-ium perchlorate",359.1,1.0,Cl(=O)(=O)(=O)[O-].NN1C=N[N+](=C1)C
"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate",324.1,1.0,Cl(=O)(=O)(=O)[O-].N[N+]=1N=NN(C1C)C
"3-amino-1,5-dimethyl-2,3-dihydro-1H-tetrazol-4-ium nitrate",367.1,1.0,[N+](=O)([O-])[O-].NN1NN(C(=[NH+]1)C)C
"1-amino-1H-1,2,4-triazol-1-ium nitrate",394.1,1.0,[N+](=O)([O-])[O-].N[NH+]1N=CN=C1
1-ethyl-3-methylimidazolium chloride,360.1,1.0,[Cl-].C(C)N1C=[N+](C=C1)C
"1,3-dimethylimidazolium chloride",399.4,3.5,[Cl-].CN1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,340.1,8.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-methyl-3-propylimidazolium chloride,335.1,4.0,[Cl-].CN1C=[N+](C=C1)CCC
1-methyl-3-(1-methylethyl)imidazolium bis[(trifluoromethyl)sulfonyl]imide,289.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C=[N+](C=C1)C(C)C
"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",300.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C(=[N+](C=C1)C)C
"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",288.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C(=[N+](C=C1)CCC)C
